user_id,recommended_items
285, 368471 1884305 1610551 1641206 577455
902, 42 98 249 542 574
948, 233 1040 1857 2574 2809
1183, 42 98 249 542 574
1286, 42 98 249 542 574
1509, 42 98 249 542 574
1776, 42 98 249 542 574
1982, 42 98 249 542 574
2742, 42 98 249 542 574
3161, 42 98 249 542 574
3256, 42 98 249 542 574
3375, 233 1040 1857 2574 2809
3547, 134 2614 2869 3008 4770
3630, 42 98 249 542 574
3806, 504257 504257 630985 463683 1242437
4607, 42 98 249 542 574
5112, 268 294 369 451 516
5627, 42 98 249 542 574
5686, 42 98 249 542 574
5738, 233 1040 1857 2574 2809
5839, 42 98 249 542 574
6442, 561531 583882 1944378 1534261 447897
7182, 42 98 249 542 574
7693, 42 98 249 542 574
8316, 1297860 433517 1404113 361010 1634432
9660, 42 98 249 542 574
9680, 42 98 249 542 574
10044, 42 98 249 542 574
10316, 42 98 249 542 574
10469, 42 98 249 542 574
10470, 728173 1312727 409420 810218 535759
10870, 42 98 249 542 574
10956, 42 98 249 542 574
11027, 42 98 249 542 574
11380, 42 98 249 542 574
11423, 42 98 249 542 574
11805, 1470994 467643 920541 2018868 868207
12046, 1776335 1150237 1150237 1536727 754417
12097, 42 98 249 542 574
12233, 42 98 249 542 574
12593, 42 98 249 542 574
12626, 1137962 1137962 1881891 791688 277402
12630, 148658 148658 148658 1175081 1194849
12671, 42 98 249 542 574
12689, 268 294 369 451 516
12750, 42 98 249 542 574
12852, 42 98 249 542 574
13715, 42 98 249 542 574
14269, 42 98 249 542 574
14624, 42 98 249 542 574
14792, 42 98 249 542 574
14966, 42 98 249 542 574
15006, 42 98 249 542 574
15100, 42 98 249 542 574
15549, 42 98 249 542 574
15611, 42 98 249 542 574
16228, 42 98 249 542 574
16874, 42 98 249 542 574
16971, 42 98 249 542 574
18097, 42 98 249 542 574
18564, 42 98 249 542 574
18796, 42 98 249 542 574
18994, 42 98 249 542 574
19544, 268 294 369 451 516
19679, 42 98 249 542 574
19704, 42 98 249 542 574
20101, 42 98 249 542 574
20679, 233 1040 1857 2574 2809
20815, 42 98 249 542 574
20979, 42 98 249 542 574
21195, 233 1040 1857 2574 2809
21324, 42 98 249 542 574
21578, 42 98 249 542 574
21627, 42 98 249 542 574
21663, 42 98 249 542 574
21813, 42 98 249 542 574
21835, 42 98 249 542 574
22107, 42 98 249 542 574
22206, 42 98 249 542 574
22591, 42 98 249 542 574
22728, 42 98 249 542 574
23229, 233 1040 1857 2574 2809
23361, 42 98 249 542 574
23459, 42 98 249 542 574
23667, 134 2614 2869 3008 4770
23718, 42 98 249 542 574
24419, 42 98 249 542 574
24465, 42 98 249 542 574
25906, 233 1040 1857 2574 2809
26038, 42 98 249 542 574
26658, 42 98 249 542 574
27187, 42 98 249 542 574
27501, 42 98 249 542 574
27638, 42 98 249 542 574
27707, 42 98 249 542 574
27727, 42 98 249 542 574
27845, 42 98 249 542 574
27931, 233 1040 1857 2574 2809
28232, 42 98 249 542 574
28739, 42 98 249 542 574
28801, 42 98 249 542 574
28972, 42 98 249 542 574
29072, 268 294 369 451 516
29146, 42 98 249 542 574
29212, 42 98 249 542 574
29340, 42 98 249 542 574
29449, 42 98 249 542 574
29519, 134 2614 2869 3008 4770
30094, 42 98 249 542 574
30368, 42 98 249 542 574
30774, 42 98 249 542 574
30910, 42 98 249 542 574
31318, 42 98 249 542 574
32111, 42 98 249 542 574
32371, 42 98 249 542 574
32434, 42 98 249 542 574
33119, 42 98 249 542 574
33317, 42 98 249 542 574
33492, 42 98 249 542 574
33552, 42 98 249 542 574
33704, 42 98 249 542 574
35125, 233 1040 1857 2574 2809
35517, 42 98 249 542 574
35752, 42 98 249 542 574
36049, 42 98 249 542 574
36125, 42 98 249 542 574
36396, 42 98 249 542 574
36940, 42 98 249 542 574
37187, 42 98 249 542 574
37351, 42 98 249 542 574
38059, 42 98 249 542 574
38189, 42 98 249 542 574
38365, 42 98 249 542 574
38481, 233 1040 1857 2574 2809
38730, 42 98 249 542 574
38944, 42 98 249 542 574
39189, 42 98 249 542 574
39773, 42 98 249 542 574
39778, 134 2614 2869 3008 4770
40141, 42 98 249 542 574
40180, 42 98 249 542 574
40246, 42 98 249 542 574
40468, 42 98 249 542 574
41309, 42 98 249 542 574
41345, 42 98 249 542 574
41383, 268 294 369 451 516
41403, 42 98 249 542 574
41629, 42 98 249 542 574
41649, 42 98 249 542 574
42051, 42 98 249 542 574
42321, 42 98 249 542 574
42617, 42 98 249 542 574
42912, 42 98 249 542 574
43088, 42 98 249 542 574
43399, 42 98 249 542 574
43444, 233 1040 1857 2574 2809
44628, 42 98 249 542 574
46074, 42 98 249 542 574
46106, 42 98 249 542 574
46377, 42 98 249 542 574
46391, 42 98 249 542 574
46874, 42 98 249 542 574
47353, 42 98 249 542 574
47387, 42 98 249 542 574
47475, 42 98 249 542 574
47662, 42 98 249 542 574
48463, 42 98 249 542 574
48478, 42 98 249 542 574
48675, 42 98 249 542 574
48789, 42 98 249 542 574
49239, 42 98 249 542 574
49334, 42 98 249 542 574
49418, 42 98 249 542 574
49794, 233 1040 1857 2574 2809
50754, 134 2614 2869 3008 4770
50874, 42 98 249 542 574
51289, 42 98 249 542 574
51380, 42 98 249 542 574
51416, 42 98 249 542 574
51445, 42 98 249 542 574
51851, 42 98 249 542 574
52067, 233 1040 1857 2574 2809
52207, 42 98 249 542 574
52730, 42 98 249 542 574
52831, 42 98 249 542 574
53121, 42 98 249 542 574
53574, 268 294 369 451 516
53638, 42 98 249 542 574
53677, 42 98 249 542 574
53760, 42 98 249 542 574
53874, 42 98 249 542 574
54382, 42 98 249 542 574
55261, 42 98 249 542 574
55358, 42 98 249 542 574
55450, 134 2614 2869 3008 4770
55534, 42 98 249 542 574
56110, 42 98 249 542 574
56216, 42 98 249 542 574
56227, 42 98 249 542 574
56317, 42 98 249 542 574
56439, 42 98 249 542 574
57013, 42 98 249 542 574
58197, 42 98 249 542 574
58250, 42 98 249 542 574
58548, 42 98 249 542 574
58600, 268 294 369 451 516
58624, 42 98 249 542 574
58695, 42 98 249 542 574
58784, 42 98 249 542 574
58798, 42 98 249 542 574
58833, 134 2614 2869 3008 4770
59104, 42 98 249 542 574
59135, 42 98 249 542 574
59546, 42 98 249 542 574
59782, 42 98 249 542 574
59842, 42 98 249 542 574
60155, 42 98 249 542 574
60471, 42 98 249 542 574
60496, 42 98 249 542 574
61016, 42 98 249 542 574
61298, 42 98 249 542 574
61873, 42 98 249 542 574
62808, 268 294 369 451 516
62908, 233 1040 1857 2574 2809
62914, 42 98 249 542 574
63061, 42 98 249 542 574
63163, 268 294 369 451 516
63322, 42 98 249 542 574
63597, 268 294 369 451 516
63753, 42 98 249 542 574
63872, 42 98 249 542 574
64303, 268 294 369 451 516
64930, 42 98 249 542 574
65592, 42 98 249 542 574
66592, 134 2614 2869 3008 4770
66908, 42 98 249 542 574
67173, 42 98 249 542 574
67354, 42 98 249 542 574
67659, 42 98 249 542 574
67705, 42 98 249 542 574
67752, 42 98 249 542 574
67939, 42 98 249 542 574
69088, 42 98 249 542 574
69418, 42 98 249 542 574
69428, 42 98 249 542 574
69757, 42 98 249 542 574
70134, 42 98 249 542 574
70534, 42 98 249 542 574
70547, 42 98 249 542 574
70649, 42 98 249 542 574
70855, 42 98 249 542 574
71226, 42 98 249 542 574
72027, 42 98 249 542 574
72461, 42 98 249 542 574
72570, 42 98 249 542 574
73454, 42 98 249 542 574
73471, 42 98 249 542 574
73525, 233 1040 1857 2574 2809
74032, 42 98 249 542 574
74663, 42 98 249 542 574
75611, 42 98 249 542 574
76103, 42 98 249 542 574
76608, 233 1040 1857 2574 2809
76720, 42 98 249 542 574
77440, 268 294 369 451 516
77641, 42 98 249 542 574
77738, 42 98 249 542 574
77942, 268 294 369 451 516
77992, 42 98 249 542 574
78016, 42 98 249 542 574
