user_id,recommended_items
285,243386 1687188 477905 175978 2355790
902,366335 1652258 1513499 839254 715107
948,1902754 1640182 2025016 2129032 1125573
1183,2680669 839886 1737910 1960885 1443706
1286,1053452 2778525 1244196 1386412 657183
1509,2424974 1972115 2748150 267282 1564530
1776,521410 787160 889842 1614903 1723501
1982,1053452 2778525 1244196 1386412 657183
2742,1053452 2778525 1244196 1386412 657183
3161,2478168 1219513 1674701 1705875 1188603
3256,1876889 2695245 928817 1858351 2399507
3375,1594285 272403 493250 891705 1130008
3547,1053452 2778525 1244196 1386412 657183
3630,925751 240076 988354 52154 1246226
3806,75547 140064 324797 520428 1027346
4607,1053452 2778525 1244196 1386412 657183
5112,1053452 2778525 1244196 1386412 657183
5627,1937957 374376 314274 1053452 2778525
5686,1845984 2436920 316060 507451 842457
5738,1129891 2760067 408692 2046549 2502832
5839,417788 75845 684798 1897111 2334207
6442,211633 245385 900765 994740 1440334
7182,259131 819496 2656193 829088 309788
7693,1053452 2778525 1244196 1386412 657183
8316,1252078 112236 309191 616188 1035760
9660,2349755 1055642 1295234 1951314 2084333
9680,542126 1598243 1715206 2561739 2803552
10044,1176437 562740 333175 559121 2588156
10316,2245261 2289904 389595 1243570 2000682
10469,2814724 2146032 2731358 1231018 2501726
10470,142914 150350 849732 1385441 1550643
10870,1053452 2778525 1244196 1386412 657183
10956,1909523 1485751 755625 835852 1019580
11027,2103306 252577 1903410 1113937 1139663
11380,1530155 1338468 2001429 2512904 1691655
11423,1053452 2778525 1244196 1386412 657183
11805,1882077 437801 408938 878016 1581957
12046,100969 1414030 498337 543184 8274
12097,1278887 1995925 2679398 178402 494504
12233,1053452 2778525 1244196 1386412 657183
12593,17005 469615 390502 897837 2519335
12626,1298620 2735424 822473 998774 326765
12630,677017 2810254 1982016 399435 393793
12671,1136949 1405349 1984752 2453965 2588490
12689,249563 654495 1105190 1250035 2695609
12750,1051584 2007242 174545 2825482 414760
12852,981474 1456702 1727762 271936 732262
13715,1053452 2778525 1244196 1386412 657183
14269,182233 1774879 1129891 1241609 2316949
14624,110004 540551 1830767 1849616 2048730
14792,633995 1845265 1899045 2053198 791099
14966,169068 1009321 1965452 1925386 1799841
15006,671456 2682643 350431 59721 205032
15100,607929 612492 1835589 2777625 1069226
15549,873147 17132 190406 1214672 2754629
15611,632026 1398027 1571713 81581 175704
16228,1053452 2778525 1244196 1386412 657183
16874,788416 1647934 1640169 330482 440630
16971,134921 485629 709003 736743 774856
18097,641945 1023081 117513 2287892 2431623
18564,1187844 155214 1363888 254339 1644970
18796,51094 71391 285167 293564 570039
18994,337914 406606 1309002 364568 410028
19544,448560 787803 929802 1914196 2030446
19679,212367 280333 329418 481439 1086619
19704,1925879 2341890 2182484 2330317 757014
20101,919742 1396517 1658528 288464 204113
20679,423967 234851 1240420 542471 1528443
20815,278589 238571 731828 2694400 1383508
20979,64045 404934 749989 933725 1020822
21195,142403 1601025 1754395 951143 261431
21324,1034284 1428371 2113033 2301445 2565823
21578,1053452 2778525 1244196 1386412 657183
21627,119113 352085 583394 836139 1914124
21663,92686 2167880 2617752 1053452 2778525
21813,1694879 2393265 1096406 2086252 284832
21835,6527 179903 289634 661550 81782
22107,2778662 231115 106878 746757 1158707
22206,46216 2182682 2666693 2715723 645790
22591,74898 2079855 2083170 346257 786823
22728,1053452 2778525 1244196 1386412 657183
23229,1908731 1053452 2778525 1244196 1386412
23361,705330 1119799 7168 550287 782716
23459,562521 196972 480007 1291947 2382848
23667,9948 29684 112396 678556 1186462
23718,1579130 1541337 2116146 1635610 852950
24419,1053452 2778525 1244196 1386412 657183
24465,2776951 356866 2188753 756218 1458901
25906,1017315 1404775 1889765 383841 540497
26038,295844 565424 1851267 1131776 1238023
26658,354517 979326 1292789 88200 134458
27187,654417 1898279 2278233 1944368 1296982
27501,293564 570039 889779 1556262 1932057
27638,459998 493079 1126306 7218 247125
27707,2433725 1218790 1876214 449089 2684504
27727,1181698 406231 776006 1328775 614700
27845,1004203 1317513 2777806 1020875 2239082
27931,2704587 713745 306427 800868 1036641
28232,2389610 979722 362577 484085 1038615
28739,426959 1368613 1392674 1640475 204044
28801,56870 2174092 1298433 159915 168617
28972,1736387 1085517 2013744 486011 1922984
29072,112236 149262 266967 2249010 1796771
29146,1181656 2092656 1962428 850021 1098302
29212,1386456 1752441 2029899 182898 1194406
29340,1212975 2006769 2676165 1315690 698298
29449,69792 145808 355417 368747 885470
29519,734196 830073 2423978 1244787 2002097
30094,750469 918388 2322706 1168589 1403170
30368,1053452 2778525 1244196 1386412 657183
30774,1053452 2778525 1244196 1386412 657183
30910,1124313 729312 2164244 2603773 818486
31318,698634 109433 761913 132597 216596
32111,1053452 2778525 1244196 1386412 657183
32371,1118121 223439 82475 103937 762224
32434,470426 365846 1213698 2491223 1496156
33119,1053452 2778525 1244196 1386412 657183
33317,656948 72989 2308251 1167807 1097256
33492,517911 706353 117053 269978 891264
33552,1125324 1567958 2084861 1015502 1259502
33704,332007 1730180 574 1345640 367773
35125,582798 680021 747435 824407 1112209
35517,172995 503937 2290837 2659905 2121562
35752,1469095 55961 923508 2807260 18872
36049,398787 2368607 2703463 1435838 45946
36125,2252567 1182126 2108056 2150511 2604447
36396,1053452 2778525 1244196 1386412 657183
36940,1739521 2789788 1642045 1910662 1283564
37187,675243 1590528 795125 831369 839008
37351,931904 1055980 1174997 1321833 1431795
38059,543642 507681 736999 1270491 617848
38189,849943 300245 177677 583935 1458722
38365,1382986 2817765 1929434 2786933 231639
38481,211361 415488 430104 1808563 1021927
38730,2775544 734196 92714 1316710 1401076
38944,482397 1016590 2006499 1163578 460897
39189,1053452 2778525 1244196 1386412 657183
39773,310503 2012370 161997 613891 1056354
39778,91075 387220 416276 627231 806348
40141,465997 499544 666713 1007332 545879
40180,439722 1082798 2075582 1701156 1842677
40246,2463009 1738223 2098400 978563 1946961
40468,1613050 569761 938375 161945 1053452
41309,1053452 2778525 1244196 1386412 657183
41345,941986 784737 2800789 1519327 205359
41383,891563 2101723 1983897 2625287 668746
41403,1448364 652822 2698468 1502840 2637434
41629,279824 397622 1493884 2146164 2418842
41649,650449 2578120 2714076 1870704 1773768
42051,230235 247942 147966 2591032 1543602
42321,1053452 2778525 1244196 1386412 657183
42617,1193728 1577312 1478712 622845 379806
42912,803941 98165 399306 2199144 2455454
43088,561040 733065 1791015 1389006 1435844
43399,464327 1489339 2557680 1764519 1848866
43444,1053452 2778525 1244196 1386412 657183
44628,316014 843261 2786880 95209 167704
46074,1053452 2778525 1244196 1386412 657183
46106,493729 1172670 1194702 2795208 1474342
46377,2332848 1971458 2198329 1050614 1447302
46391,134095 1310205 684674 180758 1581556
46874,200096 1370899 25162 120736 452534
47353,245513 429608 412368 1514251 1542531
47387,316958 2342153 2501726 2739380 1053263
47475,30878 394344 2762353 2834634 2414494
47662,1461517 2057655 692521 1572675 370838
48463,1053452 2778525 1244196 1386412 657183
48478,2602816 368328 710856 2490321 737275
48675,1562902 2175038 2339241 482953 1451641
48789,382258 477976 1092214 516616 1052678
49239,682883 902416 1085205 1487115 1673659
49334,632512 507069 160181 1079601 734196
49418,551635 228521 636899 2605931 712209
49794,582798 680021 747435 824407 1112209
50754,2129714 313851 2213254 47288 1946484
50874,2353422 976139 1288592 1053452 2778525
51289,477257 2458781 2040540 1353158 2096538
51380,162175 725456 2326256 515632 2415019
51416,451457 548753 1058508 1075006 1188378
51445,47869 1459120 553822 1454687 248682
51851,65089 1283564 1142815 2589364 210200
52067,1626862 2429594 1126490 2564059 52413
52207,2769818 891328 505969 1975716 616584
52730,2340784 870143 868249 1240596 350611
52831,2502800 1899055 950644 2232458 862022
53121,659662 2449241 1576113 1569710 2451439
53574,608508 1025695 2329750 484200 320810
53638,1424471 596702 1802997 2396098 2226366
53677,288855 8439 725018 2150263 1881425
53760,2441818 658138 527751 117353 1782677
53874,220211 333557 339272 398471 520426
54382,44532 74423 195655 324939 371778
55261,1199075 74714 207009 1599649 481835
55358,34224 1705173 1806402 1244787 1153200
55450,1932564 166607 593562 2224523 971997
55534,1053452 2778525 1244196 1386412 657183
56110,1152058 590780 757014 1063844 1126440
56216,2091769 120100 1271946 1841355 2704394
56227,2268052 1588787 2016307 590485 2082443
56317,808917 2000434 736830 1126245 2569062
56439,521436 1390360 1818718 473851 817765
57013,404929 497085 1167500 1779620 809059
58197,351203 56870 215250 599025 596851
58250,2115418 246910 929038 1015337 1148682
58548,491473 880899 2000946 2083230 1971790
58600,2752423 79531 381044 460717 1595372
58624,1241609 375324 569889 1959963 1673229
58695,51094 285867 293564 369668 39150
58784,1053452 2778525 1244196 1386412 657183
58798,1053452 2778525 1244196 1386412 657183
58833,1717226 1327915 1683530 1561878 169086
59104,142914 150350 1385441 2207523 2210940
59135,1052544 51360 858657 1605380 1947116
59546,1347200 438131 688828 1866868 2375004
59782,199647 1461025 2490488 495784 1262328
59842,73230 482717 805099 439558 1069140
60155,24934 369661 592641 554962 901104
