user_id,recommended_items
285,2123252 2351004 922410 1818827 561002
902,358411 1443706 599025 1984569 1972454
948,2382795 1053542 2614160 1961467 571817
1183,1664426 1096406 785331 2443046 2214708
1286,1053452 2778525 1244196 1386412 657183
1509,892333 1865831 2182715 1566231 2086041
1776,623022 194022 1103447 1277140 1687056
1982,1053452 2778525 1244196 1386412 657183
2742,1053452 2778525 1244196 1386412 657183
3161,472040 416914 1188603 1352448 2755931
3256,333784 2786666 2141209 1876889 2695245
3375,272403 493250 891705 1130008 2478597
3547,1053452 2778525 1244196 1386412 657183
3630,2750191 2445526 1754448 568191 415358
3806,832732 2625432 2832470 483316 902049
4607,1053452 2778525 1244196 1386412 657183
5112,1053452 2778525 1244196 1386412 657183
5627,345660 1937957 314274 2802026 415358
5686,926828 310350 1465560 1527872 2137463
5738,538069 872187 1774879 257496 2310939
5839,1952969 2603642 228087 531234 695514
6442,1412389 2464913 544219 2526744 211719
7182,248636 2014172 2340784 1183228 1734442
7693,1053452 2778525 1244196 1386412 657183
8316,2476988 1982238 2538053 983047 1116748
9660,266196 700509 1262034 2268963 2817792
9680,624750 2184058 10811 431272 702925
10044,2232786 388367 1208433 413194 710080
10316,952267 727382 1036456 1091499 1111139
10469,2547410 88271 1143105 1158257 1937899
10470,353289 2154395 161347 1024225 2160902
10870,1053452 2778525 1244196 1386412 657183
10956,192785 459732 2137413 546579 323464
11027,1147424 1791528 466173 642488 145591
11380,329426 2705558 358411 152969 2001429
11423,1053452 2778525 1244196 1386412 657183
11805,178439 1421766 2673524 1604818 1175235
12046,914591 1432589 1446413 607052 931565
12097,201335 1386412 784737 1092821 2712481
12233,1053452 2778525 1244196 1386412 657183
12593,702963 2625962 1469359 222596 1094776
12626,353713 973360 694368 161806 178441
12630,1099748 2393613 2761339 727382 1036456
12671,2568608 524925 828424 982097 1741345
12689,1105190 543769 788710 991588 1076185
12750,586587 2825482 657183 567823 1497491
12852,406835 1102260 1074097 2485053 932497
13715,1053452 2778525 1244196 1386412 657183
14269,1607107 985459 508676 1207409 2063876
14624,650831 266412 2459081 468120 214223
14792,1015502 1235325 2703576 2733057 1899045
14966,100343 504015 1065643 1210470 1919608
15006,1115516 1609009 823993 1291538 1344035
15100,510106 655749 1172132 1409571 1562308
15549,1953745 602260 2093033 1214672 2086053
15611,1870216 920509 2078789 85893 146364
16228,1053452 2778525 1244196 1386412 657183
16874,2216677 158526 483871 1339831 2057312
16971,825883 1291947 2539956 127153 138623
18097,339478 2410081 1428371 42465 175978
18564,1295570 1040704 1099911 1780277 247748
18796,1551995 771110 385584 750033 1027708
18994,337914 406606 1309002 1184891 1640415
19544,2419733 914870 1919107 2441110 448560
19679,60317 1159573 73995 546036 1254226
19704,712930 66772 1606193 383311 440991
20101,919742 1655463 2566970 106516 757163
20679,542471 791461 1528443 2326175 2494138
20815,890051 1407200 2229512 1074013 557005
20979,1029640 1702541 485102 1449761 2189661
21195,3450 1477642 164623 1376436 1795857
21324,225268 1796117 2049238 128886 1714028
21578,1053452 2778525 1244196 1386412 657183
21627,1953745 2093033 266817 1339536 2498181
21663,2617752 213472 2209942 2457976 2656392
21813,59091 2481379 38575 2030859 1212859
21835,468120 2420135 650831 1047625 1953846
22107,484085 986950 2251758 1590432 902591
22206,1955247 274885 2730927 976879 2639969
22591,1834588 1880316 1106285 576717 1749748
22728,1053452 2778525 1244196 1386412 657183
23229,1908731 1053452 2778525 1244196 1386412
23361,1710715 243343 815404 2382705 887155
23459,1391091 2313955 537780 659969 1716359
23667,410738 1274654 1504118 2741322 251196
23718,1149693 2257200 852950 884768 2628988
24419,1053452 2778525 1244196 1386412 657183
24465,859700 80271 165917 219858 1900535
25906,259766 2618603 1371253 440417 234851
26038,81964 1689895 665666 1304222 2546303
26658,596831 771448 1578355 1858507 780639
27187,314274 62452 230373 1776696 2314914
27501,1888821 250398 760563 860191 990589
27638,771416 1524219 404604 433379 531397
27707,194778 2684504 1218790 1967011 34232
27727,1809836 71285 153672 109925 2750341
27845,582473 1961823 2774083 1029608 1153447
27931,769814 2704587 585762 2305336 49286
