user_id,recommended_items
285,379006 393005 596702 637452 43377
902,228521 636899 2229410 1903984 2605931
948,1226527 233120 1178710 1955037 1129899
1183,209074 59697 163239 359609 681030
1286,2778525 1244196 1386412 657183 2791339
1509,2191657 2237323 666264 2467273 1650411
1776,18304 1548193 2195989 2232518 821841
1982,2778525 1244196 1386412 657183 2791339
2742,2778525 1244196 1386412 657183 2791339
3161,110701 312364 25286 70718 74557
3256,665969 241436 727516 341244 1189936
3375,872187 358787 741299 819914 42452
3547,931519 823512 2635038 2420135 291669
3630,563421 355835 133896 1356225 1753441
3806,228087 60917 531234 18386 695514
4607,2778525 1244196 1386412 657183 2791339
5112,1443706 830073 1317915 2462072 415358
5627,345660 1937957 314274 2802026 415358
5686,100398 162761 24977 184768 292528
5738,257496 2043501 872187 1774879 648948
5839,1767343 462917 482130 531234 665586
6442,2724681 11271 939885 801479 2778525
7182,1328838 1260602 2356114 2489267 39810
7693,2778525 1244196 1386412 657183 2791339
8316,20049 2538053 471381 136863 152801
9660,45759 643845 658138 807071 279242
9680,624750 2783369 851128 2174115 299943
10044,2778525 1244196 1386412 657183 2791339
10316,1091499 1111139 1112441 1036456 727382
10469,1155746 1642757 2244868 1297454 1004270
10470,2154395 353289 2210368 2686231 2778525
10870,2778525 1244196 1386412 657183 2791339
10956,2137413 1622375 2452774 2712922 323464
11027,2778525 1244196 1386412 657183 2791339
11380,1003395 152969 329426 1210427 2793783
11423,2778525 1244196 1386412 657183 2791339
11805,1729786 379006 750089 84155 1585675
12046,1443706 830073 1317915 2462072 415358
12097,1194454 1239885 1403565 286472 852283
12233,2778525 1244196 1386412 657183 2791339
12593,1094776 2408382 1609822 2707577 528520
12626,86269 271403 462454 521536 546800
12630,727382 142983 99308 958454 1036456
12671,1741345 1958329 828424 982097 1984752
12689,2815598 543769 1076185 1851173 1692191
12750,2778525 1244196 1386412 657183 2791339
12852,2778525 1244196 1386412 657183 2791339
13715,2778525 1244196 1386412 657183 2791339
14269,1475060 1041413 1872447 2306713 1633947
14624,278107 370775 1391881 1499485 66714
14792,1475060 1041413 1872447 2306713 1633947
14966,1065643 100343 504015 1210470 1919608
15006,1455747 120131 818792 39150 43377
15100,529619 1099170 148365 1316226 2153072
15549,1611081 592267 717384 192727 236083
15611,1570 339865 106660 1599448 1915995
16228,2778525 1244196 1386412 657183 2791339
16874,1915769 737865 892378 899726 351911
16971,127153 138623 520294 582631 737865
18097,1452405 1351517 2584268 205495 126770
18564,31949 848427 1483369 115332 116262
18796,471498 331026 340543 544165 317761
18994,791983 1685522 1150466 1318705 122092
19544,1443706 830073 1317915 2462072 415358
19679,2778525 1244196 1386412 657183 2791339
19704,383311 963479 440991 1650394 1752642
20101,2778525 1244196 1386412 657183 2791339
20679,387168 393396 24492 187140 78318
20815,963479 972297 1259015 1318286 1831349
20979,2316511 2528004 838409 212078 1309957
21195,1996980 634543 464538 467940 261431
21324,632560 719957 735471 850753 581249
21578,2778525 1244196 1386412 657183 2791339
21627,1056667 2778525 1244196 1386412 657183
21663,2656392 2209942 2457976 213472 1969932
21813,2778525 1244196 1386412 657183 2791339
21835,326765 1043911 680927 2104705 1756074
22107,604591 203668 36967 683473 540178
22206,871857 297900 2597023 104143 2207867
22591,1106285 576717 1749748 2484621 2715203
22728,2778525 1244196 1386412 657183 2791339
23229,1908731 2796479 2106311 1830993 2750191
23361,708837 1043730 323364 1450645 469086
23459,2778525 1244196 1386412 657183 2791339
23667,931519 823512 2635038 2420135 291669
23718,470217 322374 323286 123061 214223
24419,2778525 1244196 1386412 657183 2791339
24465,82740 147966 264954 498131 727779
25906,2458178 1303564 2087707 1561920 1976306
26038,320076 2508567 81964 701927 823556
26658,2778525 1244196 1386412 657183 2791339
27187,1552003 1947896 1973323 1110617 522046
27501,760563 71391 860191 990589 250398
27638,829733 288872 106209 1322738 1386713
27707,34232 704184 1952169 1003125 230819
27727,134800 289442 736712 750868 874582
27845,1366130 403151 1516754 574694 582473
27931,1129 422677 655123 51844 738607
28232,686127 94359 448560 404559 44817
28739,114894 770827 204044 223250 806981
28801,1345131 1627539 1298433 2174092 56870
28972,1452579 1007361 2227010 1994344 1922984
29072,5726 450489 1266023 1429221 1641241
29146,1900852 1243037 447312 2192350 1377249
29212,1340711 541633 147125 482193 767428
29340,186524 88388 99269 27235 616945
29449,2121717 273768 2340521 680850 1947697
29519,1586458 1749358 891264 1043911 1393174
30094,1168589 1613989 1403170 918388 846416
30368,2778525 1244196 1386412 657183 2791339
30774,2778525 1244196 1386412 657183 2791339
30910,2129 67400 647323 152224 922351
31318,1151907 518437 194134 489130 178243
32111,2778525 1244196 1386412 657183 2791339
32371,209074 59697 163239 359609 691256
32434,1488070 482700 66525 1698884 801984
33119,2778525 1244196 1386412 657183 2791339
33317,22987 2164654 1251864 1876143 180564
33492,408745 617012 1507110 778281 206650
33552,2778525 1244196 1386412 657183 2791339
33704,741927 1586458 424700 18048 70023
35125,1200571 1616588 158925 588716 1980889
35517,247063 462917 95800 665586 672651
35752,1663254 20363 2075319 2688116 702036
36049,2778525 1244196 1386412 657183 2791339
36125,1426870 2474513 575282 608613 785716
36396,2778525 1244196 1386412 657183 2791339
36940,2778525 1244196 1386412 657183 2791339
37187,1590528 2376471 675243 878016 714376
37351,2053600 1602742 1583355 458601 2720391
38059,2194493 2532918 252232 706736 429512
38189,645461 2007666 1040704 1897895 823816
38365,118687 872041 651378 725509 1008863
38481,1868051 2288793 430104 1943138 1262747
38730,127901 79029 498489 355827 1003200
38944,2153078 590658 2300744 2492396 981107
39189,2778525 1244196 1386412 657183 2791339
39773,1139749 994434 1098993 1833610 1056354
39778,229560 231858 276802 71071 302847
40141,499544 666713 1147483 161945 465997
40180,521436 565050 641200 1144348 1306320
40246,1412389 943464 66167 1618041 2077064
40468,1613050 499544 161945 465997 1417798
41309,2778525 1244196 1386412 657183 2791339
41345,1340384 1715993 616631 1717385 1519327
41383,404559 190665 559359 593769 958406
41403,925940 273670 220233 1015667 1448364
41629,191902 181335 613472 855715 197514
41649,126734 1204891 1470737 1748104 872228
42051,2778525 1244196 1386412 657183 2791339
42321,2778525 1244196 1386412 657183 2791339
42617,2624261 1604818 1795364 1357017 1278222
42912,2609595 659969 1716359 1584839 2199144
43088,2778525 1244196 1386412 657183 2791339
43399,2778525 1244196 1386412 657183 2791339
43444,2796479 2106311 1830993 2750191 554760
44628,838520 55173 243940 83854 848543
46074,2778525 1244196 1386412 657183 2791339
46106,355691 74915 371122 824996 838240
46377,2133029 493272 281642 43377 291987
46391,69494 2072852 1573735 1589201 1605545
46874,100398 162761 24977 184768 292528
