user_id,recommended_items
285,1728166 335428 1056667 1092821 2002097
902,1519543 2420135 1443706 1835742 2466095
948,1053542 823512 1477734 2466095 1287265
1183,1096406 2489959 830073 2778525 1244196
1286,2778525 1244196 1386412 657183 2791339
1509,972388 823512 2778525 1244196 1386412
1776,1053542 1244196 2778525 1244196 1386412
1982,2778525 1244196 1386412 657183 2791339
2742,2778525 1244196 1386412 657183 2791339
3161,1728166 2277810 1519543 265522 2734883
3256,2778525 1244196 1386412 657183 2791339
3375,2660436 2031981 2466095 569889 1477734
3547,931519 823512 2635038 2420135 291669
3630,2712481 2750191 205039 1876513 43306
3806,2501356 1119495 1086695 1287265 1171271
4607,2778525 1244196 1386412 657183 2791339
5112,1443706 830073 1317915 2462072 415358
5627,415358 374376 2380306 2593483 2778525
5686,2825431 1239082 1794685 2590469 668146
5738,2660436 1477734 554760 47583 823512
5839,288342 1728166 1830993 1119495 470426
6442,2778525 1244196 1386412 657183 2791339
7182,1624781 1477734 2097556 447985 2462072
7693,2778525 1244196 1386412 657183 2791339
8316,1368635 2037855 931519 734196 437245
9660,2380306 768905 2734883 1368635 16356
9680,2778525 1244196 1386412 657183 2791339
10044,2778525 1244196 1386412 657183 2791339
10316,2796479 2778525 1244196 1386412 657183
10469,536047 2778525 1244196 1386412 657183
10470,2778525 1244196 1386412 657183 2791339
10870,2778525 1244196 1386412 657183 2791339
10956,1984327 2778525 2778525 1244196 1386412
11027,2778525 1244196 1386412 657183 2791339
11380,2590469 2825431 882543 1867675 2705759
11423,2778525 1244196 1386412 657183 2791339
11805,788342 1728166 1867675 546415 2097556
12046,1443706 830073 1317915 2462072 415358
12097,35677 554760 779190 1830993 2712481
12233,2778525 1244196 1386412 657183 2791339
12593,2205815 951143 2778525 2778525 1244196
12626,415358 2289895 2097556 625711 278589
12630,1244787 2712481 2796479 1092821 784737
12671,2778525 1244196 1386412 657183 2791339
12689,1443706 830073 1317915 2462072 415358
12750,2778525 1244196 1386412 657183 2791339
12852,2778525 1244196 1386412 657183 2791339
13715,2778525 1244196 1386412 657183 2791339
14269,1140869 2441881 2712481 2698468 47583
14624,2289895 2734883 1165605 2650926 1519543
14792,1140869 2441881 2712481 2698468 47583
14966,2778525 1244196 1386412 657183 2791339
15006,35677 1794685 437245 1053542 1092821
15100,1443706 1162250 2778525 1244196 1386412
15549,43306 1876513 1695664 313851 507069
15611,2750191 1754395 16356 779190 313851
16228,2778525 1244196 1386412 657183 2791339
16874,952102 1886939 2593483 1928254 1092821
16971,952102 1886939 2593483 343377 1928254
18097,2289895 265522 1317915 625711 2097556
18564,1550605 1325341 1047625 1576126 343377
18796,2289895 1624781 436574 2156629 1928254
18994,2778525 1244196 1386412 657183 2791339
19544,1443706 830073 1317915 2462072 415358
19679,2778525 1244196 1386412 657183 2791339
19704,788342 499178 2770160 1074013 2348573
20101,2778525 1244196 1386412 657183 2791339
20679,2313894 1287265 554760 2462072 2625619
20815,1074013 436574 2705759 2625619 499178
20979,2778525 1244196 1386412 657183 2791339
21195,1287265 2031981 1679143 734196 2796479
21324,16356 636889 507069 335428 470426
21578,2778525 1244196 1386412 657183 2791339
21627,1056667 2778525 1244196 1386412 657183
21663,1886939 1244787 343377 1092821 1244196
21813,2778525 1244196 1386412 657183 2791339
21835,1069281 2313894 1953846 1443706 2420135
22107,335428 1794685 1876513 43306 1728166
22206,335428 2441881 972388 79531 1092821
22591,1239082 2441881 1074013 788342 579292
22728,2778525 1244196 1386412 657183 2791339
23229,2796479 2106311 1830993 2750191 554760
23361,278589 2778525 1244196 1386412 657183
23459,2778525 1244196 1386412 657183 2791339
23667,931519 823512 2635038 2420135 291669
23718,650831 266412 569889 1443706 2459081
24419,2778525 1244196 1386412 657183 2791339
24465,291669 2049946 2825431 882543 335428
25906,2796479 2106311 1830993 2750191 554760
26038,1835742 2825431 2086041 882543 2778525
26658,2778525 1244196 1386412 657183 2791339
27187,1074013 499178 2778525 1244196 1386412
27501,830073 278589 536047 2778525 1244196
27638,2778525 1244196 1386412 657183 2791339
27707,1754395 2778525 1244196 1386412 657183
27727,265522 569889 1636910 794156 723096
27845,972388 1830993 2086041 1920047 1984327
27931,1317915 1165605 1092821 2796479 2106311
28232,2825431 1835742 2086041 18872 882543
28739,1140869 1386412 2778525 1244196 1386412
28801,2778525 1244196 1386412 657183 2791339
28972,2778525 1244196 1386412 657183 2791339
29072,1074013 1086695 2435845 2625619 1330328
29146,2778525 1244196 1386412 657183 2791339
29212,2049946 1438082 931519 2205815 2770160
29340,1695664 2501356 2097556 749431 2413494
29449,1086695 788342 2778525 1244196 1386412
29519,1162250 343377 1244787 72465 2198329
30094,1652258 830073 1984327 2002097 2778525
30368,2778525 1244196 1386412 657183 2791339
30774,2778525 1244196 1386412 657183 2791339
30910,636889 2501356 1519543 1732848 447985
31318,1287265 447985 650831 1317915 1165605
32111,2778525 1244196 1386412 657183 2791339
32371,2778525 1244196 1386412 657183 2791339
32434,1287265 1165605 2734883 687732 1636910
33119,2778525 1244196 1386412 657183 2791339
33317,546415 2205815 1886939 1368635 1636910
33492,2750191 2501356 1830993 2778525 1244196
33552,2778525 1244196 1386412 657183 2791339
33704,2420135 1069281 2489959 779190 1443706
35125,1287265 2466095 2031981 1053542 2796479
35517,374376 1438082 788342 931519 1519543
35752,1074013 1086695 2625619 536047 2778525
36049,2778525 1244196 1386412 657183 2791339
36125,2705759 2205815 374376 313851 1287265
36396,2778525 1244196 1386412 657183 2791339
36940,2778525 1244196 1386412 657183 2791339
37187,788342 1092821 2778525 1244196 1386412
37351,470426 784737 2002097 2778525 1244196
38059,536047 2778525 1244196 1386412 657183
38189,1090310 1717731 668146 335428 2593483
38365,2778525 1244196 1386412 657183 2791339
38481,1728166 1867675 374376 2205815 2413494
38730,2705759 2625619 1330328 265522 1754395
38944,2778525 1244196 1386412 657183 2791339
39189,2778525 1244196 1386412 657183 2791339
39773,2778525 1244196 1386412 657183 2791339
39778,2198329 1776330 734196 784737 2002097
40141,1244196 1386412 657183 2791339 278589
40180,2778525 1244196 1386412 657183 2791339
40246,1928254 2778525 1244196 1386412 657183
40468,2778525 1244196 1386412 657183 2791339
41309,2778525 1244196 1386412 657183 2791339
41345,470426 784737 343377 657183 2778525
41383,1636910 1443706 830073 1317915 2462072
41403,2097556 2183288 2778525 1244196 1386412
41629,2086041 374376 1624781 2825431 2380306
41649,952102 2778525 1244196 1386412 657183
42051,2778525 1244196 1386412 657183 2791339
42321,2778525 1244196 1386412 657183 2791339
42617,1438082 2462072 2512859 546415 1368635
42912,2778525 1244196 1386412 657183 2791339
43088,2778525 1244196 1386412 657183 2791339
43399,2778525 1244196 1386412 657183 2791339
43444,2796479 2106311 1830993 2750191 554760
44628,2778525 1244196 1386412 657183 2791339
46074,2778525 1244196 1386412 657183 2791339
46106,265522 2705759 2289895 2734883 2024094
46377,788342 2825431 2590469 1754395 2348573
46391,2778525 1244196 1386412 657183 2791339
46874,920520 2825431 1239082 1794685 1047625
47353,374376 749431 687732 1636910 779190
47387,2289895 470426 2593483 1092821 1386412
47475,1794685 16356 72465 1652258 1876513
47662,2441881 1162250 2778525 1244196 1386412
48463,2778525 1244196 1386412 657183 2791339
48478,2778525 1244196 1386412 657183 2791339
48675,2778525 1244196 1386412 657183 2791339
48789,2049946 2277810 734196 313851 2650926
49239,2778525 1244196 1386412 657183 2791339
49334,507069 734196 2778525 1244196 1386412
49418,79531 1092821 2778525 1244196 1386412
49794,2796479 2106311 1830993 2750191 554760
50754,313851 2198329 1920047 470426 734196
50874,2002097 2778525 1244196 1386412 657183
51289,2778525 1244196 1386412 657183 2791339
51380,2698468 374376 1624781 2097556 1287265
51416,788342 1876513 2825431 1717731 291669
51445,2198329 1386412 2778525 1244196 1386412
51851,569889 72465 2031981 266412 830073
52067,2796479 2106311 1830993 2750191 554760
52207,2476293 1368635 2002097 2778525 1244196
52730,1835742 72465 1212118 266412 2466095
52831,1830993 1092821 2778525 1244196 1386412
53121,1550605 2413494 951143 1830993 2198329
53574,1074013 1086695 788342 2348573 1330328
53638,1074013 415358 1086695 499178 788342
53677,2778525 1244196 1386412 657183 2791339
53760,313851 1438082 1519543 749431 2277810
53874,2778525 1244196 1386412 657183 2791339
54382,2734883 625711 1636910 2712481 1695664
55261,2778525 1244196 1386412 657183 2791339
55358,2778525 1244196 1386412 657183 2791339
55450,1835742 2660436 1519543 447985 569889
55534,2778525 1244196 1386412 657183 2791339
56110,1867675 536047 2778525 2778525 1244196
56216,2348573 2750191 415358 2501356 788342
56227,1717731 1576126 2778525 1244196 1386412
56317,1695664 1776330 343377 1092821 657183
56439,1074013 2778525 1244196 1386412 657183
57013,1069281 2313894 2459081 1953846 2420135
58197,657183 2778525 1244196 1386412 657183
58250,79531 2778525 1244196 1386412 657183
58548,2778525 1244196 1386412 657183 2791339
58600,47583 2024094 460717 1886939 79531
58624,2660436 2031981 2466095 569889 1477734
58695,2778525 1244196 1386412 657183 2791339
58784,2778525 1244196 1386412 657183 2791339
58798,2778525 1244196 1386412 657183 2791339
58833,931519 823512 2635038 2420135 291669
59104,2778525 1244196 1386412 657183 2791339
59135,2778525 1244196 1386412 657183 2791339
59546,472040 1928254 2778525 1244196 1386412
59782,1984327 2778525 1244196 1386412 657183
59842,1090310 668146 291669 951143 1576126
60155,2778525 1244196 1386412 657183 2791339
60471,447985 1443706 1162250 1928254 2778525
60496,2778525 1244196 1386412 657183 2791339
61016,823512 2660436 1053542 2097556 1477734
61298,1171271 972388 1239082 1086695 1576126
61873,2705759 1438082 2289895 265522 2734883
62808,35677 468120 2313894 931519 1953846
62908,2796479 2106311 1830993 2750191 554760
62914,2778525 1244196 1386412 657183 2791339
63061,636889 1794685 335428 205039 507069
63163,1443706 830073 1317915 2462072 415358
63322,2097556 2778525 1244196 1386412 657183
63597,650831 1096406 1835742 205039 266412
63753,2037855 1776330 2778525 1244196 1386412
63872,2778525 1244196 1386412 657183 2791339
64303,657183 2489959 72465 343377 1069281
64930,2778525 1244196 1386412 657183 2791339
65592,723096 1368635 460717 2277810 1477734
66592,931519 823512 2635038 2420135 291669
66908,2825431 1717731 951143 2791339 2778525
67173,2635038 1754395 2593483 2778525 1244196
67354,1317915 2778525 1244196 1386412 657183
67659,1287265 2466095 205039 313851 2031981
67705,1074013 499178 1086695 2778525 1244196
67752,2778525 1244196 1386412 657183 2791339
67939,1047625 1928254 657183 2778525 1244196
69088,2778525 1244196 1386412 657183 2791339
69418,1886939 2778525 1244196 1386412 657183
69428,723096 472040 1368635 1928254 2380306
69757,2778525 1244196 1386412 657183 2791339
70134,43306 1876513 1695664 313851 2734883
70534,2778525 1244196 1386412 657183 2791339
70547,2778525 1244196 1386412 657183 2791339
70649,2778525 1386412 657183 2791339 278589
70855,2635038 1519543 972388 636889 374376
71226,650831 2024094 1886939 47583 794156
72027,1438082 1728166 2205815 2705759 2462072
72461,1074013 2348573 2625619 415358 2770160
72570,18872 882543 779190 668146 1835742
73454,2650926 2289895 374376 546415 749431
73471,2778525 1244196 1386412 657183 2791339
73525,2796479 2106311 1830993 2750191 554760
74032,2778525 1244196 1386412 657183 2791339
74663,1624781 2205815 2778525 1244196 1386412
75611,882543 1835742 2705759 291669 2590469
76103,2435845 734196 1092821 536047 2791339
76608,2796479 2106311 1830993 2750191 554760
76720,1368635 1513499 1438082 2660436 507069
77440,579292 1443706 830073 1317915 2462072
77641,1171271 2420135 2459081 668146 830073
77738,2512859 2778525 2778525 1244196 1386412
77942,1443706 830073 1317915 2462072 415358
77992,1171271 2501356 1287265 2650926 972388
78016,1835742 882543 2086041 291669 636889
78100,1717731 2441881 2380306 47583 723096
78298,2778525 1244196 1386412 657183 2791339
78784,2289895 265522 2156629 2791339 1092821
79349,2778525 1244196 1386412 657183 2791339
79426,2778525 1244196 1386412 657183 2791339
79738,2778525 1244196 1386412 657183 2791339
79802,2049946 768905 1325341 2413494 437245
80026,2778525 1244196 1386412 657183 278589
80113,2778525 1244196 1386412 657183 2791339
80743,2024094 2198329 1119495 1140869 1928254
80933,1920047 2778525 1244196 1386412 657183
81213,1695664 2501356 1287265 1171271 2489959
81342,931519 823512 2635038 2420135 291669
81375,2778525 1244196 1386412 657183 2791339
82204,79531 2778525 2778525 1244196 1386412
82500,1287265 779190 1443706 2778525 1244196
82645,1867675 1056667 2002097 2778525 1244196
82778,2778525 1244196 1386412 657183 2791339
82848,2778525 1244196 1386412 657183 2791339
82953,47583 625711 2024094 554760 266412
83200,2750191 749431 1074013 415358 1317915
83840,2778525 1244196 1386412 657183 2791339
84028,1477734 278589 1140869 79531 2778525
84579,579292 1776330 278589 1092821 2002097
84814,2778525 1244196 1386412 657183 2791339
84989,546415 2750191 2501356 1086695 2825431
85006,2796479 536047 2778525 1244196 1386412
85011,1386412 2778525 1244196 1386412 657183
85432,2778525 1244196 1386412 657183 2791339
85921,2097556 2778525 1244196 1386412 657183
85958,2778525 1244196 1386412 657183 2791339
85991,1171271 447985 2778525 2778525 1244196
86194,16356 1867675 2441881 1794685 687732
86285,2778525 2778525 1244196 1386412 657183
86316,2778525 1244196 1386412 657183 2791339
86856,2796479 2106311 1830993 2750191 554760
87127,2778525 1244196 1386412 657183 2791339
87569,1074013 788342 499178 1086695 2625619
87622,2024094 1140869 460717 2489959 554760
87629,2778525 1244196 1386412 657183 2791339
88090,1443706 830073 1317915 2462072 415358
88699,1074013 1876513 1728166 1056667 1330328
89595,2778525 1244196 1386412 657183 2791339
89700,1830993 2614865 1317915 636889 2501356
90134,2778525 1244196 1386412 657183 2791339
90275,2778525 1244196 1386412 657183 2791339
90552,2037477 972388 278589 460717 1053542
90609,2024094 569889 2420135 2466095 1477734
90615,1695664 1636910 2501356 2435845 2734883
90733,2476293 2205815 931519 2002097 657183
91295,2825431 2778525 1244196 1386412 657183
92019,2097556 1984327 2778525 2778525 1244196
92182,2778525 1244196 1386412 657183 2791339
92343,1171271 2650926 1119495 2778525 1244196
93312,2778525 1244196 1386412 657183 2791339
93887,2778525 1244196 1386412 657183 2791339
93930,2441881 1776330 2106311 2778525 2778525
94336,2778525 1244196 1386412 657183 2791339
94417,1119495 460717 2778525 1244196 1386412
94548,2778525 1244196 1386412 657183 2791339
94665,2825431 536047 2778525 1244196 1386412
94805,1287265 2024094 554760 47583 1636910
94918,1330328 931519 1056667 2791339 1386412
94945,2796479 2106311 1830993 2750191 554760
95321,72465 2313894 18872 2796479 569889
95619,2778525 1244196 1386412 657183 2791339
96109,2778525 1244196 1386412 657183 2791339
96164,1835742 2086041 882543 2660436 43306
96187,1920047 2698468 749431 882543 2489959
96756,931519 823512 2635038 2420135 291669
97135,1867675 1876513 415358 2205815 1794685
