user_id,recommended_items
285,2512552 2570440 1429391 35505 1038899
902,1984569 366335 1676375 1784088 1103085
948,2614160 571817 2823490 2184165 2382795
1183,1079230 681030 163239 59697 359609
1286,2778525 1244196 1386412 657183 2791339
1509,666264 2191657 2237323 1650411 2704417
1776,2805839 623022 64262 1090418 821841
1982,2778525 1244196 1386412 657183 2791339
2742,2778525 1244196 1386412 657183 2791339
3161,416914 1188603 1352448 2755931 85893
3256,241436 698025 341244 118976 665969
3375,2478597 272403 891705 493250 1130008
3547,931519 823512 2635038 2420135 291669
3630,2087076 2437406 1261791 1201349 70291
3806,1801297 711616 1602667 105249 1791003
4607,2778525 1244196 1386412 657183 2791339
5112,1443706 830073 1317915 2462072 415358
5627,345660 1937957 314274 2802026 415358
5686,2140358 842457 507451 310350 1527872
5738,2760067 1837182 1207409 2094728 408692
5839,228087 531234 695514 810933 1304472
6442,1412389 544219 2464913 1169036 1395362
7182,1734442 1884669 13494 1310556 1791524
7693,2778525 1244196 1386412 657183 2791339
8316,2228797 2774850 639237 322001 597113
9660,1262034 266196 2268963 2817792 700509
9680,10811 431272 702925 851128 624750
10044,710080 1145829 413194 1281528 2398576
10316,709754 1771645 1962993 1091499 1111139
10469,1143105 2367864 1158257 1937899 88271
10470,2154395 2160902 2632128 1024225 353289
10870,2778525 1244196 1386412 657183 2791339
10956,1622375 323464 2452774 2712922 2774587
11027,1791528 1147424 466173 1522676 561642
11380,653600 2759578 2829793 1993132 2001429
11423,2778525 1244196 1386412 657183 2791339
11805,2673524 1421766 1572028 1621432 652500
12046,542252 8274 986971 802976 114386
12097,1583754 1278887 99308 958454 142983
12233,2778525 1244196 1386412 657183 2791339
12593,1528592 70718 312364 569883 1850016
12626,31058 361428 377955 406832 484833
12630,1099748 2393613 2761339 727382 1111139
12671,1741345 1958329 828424 1984752 982097
12689,788710 991588 543769 1076185 1118308
12750,586587 1497491 1781907 187479 182234
12852,1074097 2485053 406835 1560693 1423494
13715,2778525 1244196 1386412 657183 2791339
14269,1207409 713298 1331957 2445327 2377839
14624,2249023 573297 246259 110004 480135
14792,1015502 2703576 2733057 1235325 335883
14966,1065643 100343 504015 1210470 1919608
15006,1654907 1562177 1291538 823993 1344035
15100,1409571 1562308 655749 510106 1172132
15549,2313858 2770501 1214672 2754629 190406
15611,2189310 1613025 1841182 85893 146364
16228,2778525 1244196 1386412 657183 2791339
16874,1171957 2513257 217204 2396906 449238
16971,1859722 1168923 127153 582631 138623
18097,903167 1382652 355303 1788698 2287892
18564,1099911 1780277 734953 111570 1015912
18796,275292 760206 549998 214485 40099
18994,1309002 406606 337914 1399869 189802
19544,1494192 929802 448560 787803 537350
19679,546036 73995 1254226 1656648 2128643
19704,712930 1606193 66772 440991 963479
20101,1655463 2566970 919742 1763516 106516
20679,1528443 2326175 542471 791461 2494138
20815,27083 230373 62452 372347 972297
20979,2189661 2646800 1542593 1935450 2027185
21195,811515 1985150 1049395 2089381 1077208
21324,1796117 2049238 225268 527900 398533
21578,2778525 1244196 1386412 657183 2791339
21627,1339536 352085 119113 318735 13158
21663,2656392 2209942 2457976 1577332 1969932
21813,2782726 1663921 1309362 2475013 2727274
21835,708303 830488 1260452 278614 1404113
22107,203668 604591 683473 540178 36967
22206,2639969 976879 645790 1955247 274885
22591,37339 74940 24197 63202 118397
22728,2778525 1244196 1386412 657183 2791339
23229,1908731 2796479 2106311 1830993 2750191
23361,243343 2382705 815404 1119799 2039947
23459,537780 1716359 659969 2609595 570890
23667,168729 553458 114803 268991 859110
23718,2628988 2709589 852950 884768 460897
24419,2778525 1244196 1386412 657183 2791339
24465,1900535 165917 219858 80271 2315453
25906,366083 1303564 265564 273337 1017315
26038,1256795 756594 1238023 657342 2050308
26658,596831 280027 426427 222179 771448
27187,230373 62452 454308 1217717 1718188
27501,760563 860191 1666119 990589 250398
27638,1749344 2340587 106209 1335488 2694885
27707,2430891 194778 34232 2089002 1003125
27727,2700944 1787660 409245 612738 1974227
27845,576580 1223649 186275 1004203 246259
27931,2704587 131280 133371 248197 49286
28232,701927 1403274 2505933 92492 1927605
28739,114894 223250 204044 770827 273574
28801,1824227 2277811 2420134 159915 59697
28972,1452579 1007361 2227010 1994344 1922984
29072,78664 1266023 450489 1429221 1483617
29146,1900852 1243037 447312 2192350 1377249
29212,2190835 1303261 69688 2048072 907830
29340,904391 88915 1703862 1719206 1275492
29449,2121717 273768 680850 2340521 450489
29519,612981 903440 1258860 393396 1440494
30094,1168589 1613989 1403170 918388 35505
30368,2778525 1244196 1386412 657183 2791339
30774,2778525 1244196 1386412 657183 2791339
30910,2704977 1132511 2101279 476469 2385399
31318,2480339 602445 655873 1342533 172024
32111,2778525 1244196 1386412 657183 2791339
32371,163239 209074 359609 691256 59697
32434,244688 482700 66525 1488070 801984
33119,2778525 1244196 1386412 657183 2791339
33317,261069 408511 380376 656948 702925
33492,924377 2458486 2597653 2667620 18386
33552,1719302 2098158 1259502 1015502 1567958
33704,2249862 818658 2543066 1440494 903440
35125,2496018 551806 1760118 1636747 1687929
35517,1200792 2740864 128024 79029 1753441
35752,923508 55961 1038130 2807260 111268
36049,398787 1128638 1918359 66640 369668
36125,641181 2108056 1182126 1188664 2150511
36396,2778525 1244196 1386412 657183 2791339
36940,166340 1840607 566295 2245226 1784264
37187,1590528 2376471 675243 878016 714376
37351,2053600 958759 1055980 1174997 1261177
38059,1576782 543642 825136 142662 2194493
38189,1099911 1732045 849732 1077159 979450
38365,118687 872041 651378 725509 1008863
38481,1243037 1900852 324207 1882637 1671161
38730,2304502 154119 205495 339498 133855
